Responden;Minat Beli Ulang (Y);Promosi Penjualan (X1);Experiential Marketing (X2);Kualitas Produk (X3);Kualitas Pelayanan (X4);;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;21;15;31;32;29;;;;;;;;;;;
2;21;12;30;39;31;;;;;;;;;;;
3;22;12;30;34;34;;;;;;;;;;;
4;18;12;25;27;29;;;;;;;;;;;
5;15;12;20;34;28;;;;;;;;;;;
6;18;12;29;33;30;;;;;;;;;;;
7;15;8;22;25;30;;;;;;;;;;;
8;26;16;40;39;40;;;;;;;;;;;
9;22;16;26;35;19;;;;;;;;;;;
10;27;14;34;37;38;;;;;;;;;;;
11;15;8;25;27;20;;;;;;;;;;;
12;17;10;26;28;20;;;;;;;;;;;
13;19;12;29;33;27;;;;;;;;;;;
14;21;12;30;34;30;;;;;;;;;;;
15;21;12;30;35;37;;;;;;;;;;;
16;23;14;27;30;31;;;;;;;;;;;
17;22;15;31;32;37;;;;;;;;;;;
18;21;12;30;33;30;;;;;;;;;;;
19;16;10;25;32;26;;;;;;;;;;;
20;23;14;34;39;36;;;;;;;;;;;
21;27;14;32;38;27;;;;;;;;;;;
22;22;15;33;36;39;;;;;;;;;;;
23;18;16;24;26;30;;;;;;;;;;;
24;23;12;31;34;32;;;;;;;;;;;
25;23;13;32;35;30;;;;;;;;;;;
26;21;14;31;35;30;;;;;;;;;;;
27;24;14;32;36;30;;;;;;;;;;;
28;27;15;36;40;38;;;;;;;;;;;
29;15;9;30;31;30;;;;;;;;;;;
30;20;12;28;34;29;;;;;;;;;;;
31;23;14;31;28;34;;;;;;;;;;;
32;27;16;38;42;40;;;;;;;;;;;
33;27;16;34;40;36;;;;;;;;;;;
34;22;14;26;35;32;;;;;;;;;;;
35;25;14;27;37;31;;;;;;;;;;;
36;26;14;39;38;40;;;;;;;;;;;
37;26;12;32;37;30;;;;;;;;;;;
38;21;12;28;31;29;;;;;;;;;;;
39;22;13;25;31;32;;;;;;;;;;;
40;22;13;36;31;33;;;;;;;;;;;
41;21;14;30;33;30;;;;;;;;;;;
42;20;12;30;32;30;;;;;;;;;;;
43;21;12;26;26;22;;;;;;;;;;;
44;22;12;30;32;30;;;;;;;;;;;
45;21;15;37;41;36;;;;;;;;;;;
46;26;15;34;39;30;;;;;;;;;;;
47;22;14;31;35;33;;;;;;;;;;;
48;22;13;26;28;31;;;;;;;;;;;
49;15;5;18;34;30;;;;;;;;;;;
50;21;12;29;34;30;;;;;;;;;;;
51;20;13;23;34;34;;;;;;;;;;;
52;21;14;30;32;30;;;;;;;;;;;
53;21;13;24;37;34;;;;;;;;;;;
54;22;12;30;32;30;;;;;;;;;;;
55;22;12;30;33;30;;;;;;;;;;;
56;13;12;18;22;14;;;;;;;;;;;
57;21;13;23;28;30;;;;;;;;;;;
58;22;14;28;37;36;;;;;;;;;;;
59;24;14;33;37;34;;;;;;;;;;;
60;27;16;36;41;40;;;;;;;;;;;
61;14;14;18;25;17;;;;;;;;;;;
62;19;15;26;29;27;;;;;;;;;;;
63;22;12;30;33;30;;;;;;;;;;;
64;21;12;30;32;29;;;;;;;;;;;
65;22;12;24;27;26;;;;;;;;;;;
66;21;14;38;41;37;;;;;;;;;;;
67;23;14;35;39;35;;;;;;;;;;;
68;20;14;28;26;30;;;;;;;;;;;
69;22;12;32;36;33;;;;;;;;;;;
70;24;14;29;32;30;;;;;;;;;;;
71;21;12;30;33;30;;;;;;;;;;;
72;22;12;30;33;30;;;;;;;;;;;
73;20;12;30;33;30;;;;;;;;;;;
74;15;8;23;26;23;;;;;;;;;;;
75;13;12;19;23;27;;;;;;;;;;;
76;20;12;23;31;31;;;;;;;;;;;
77;17;12;21;29;28;;;;;;;;;;;
78;22;15;31;36;33;;;;;;;;;;;
79;21;12;30;33;30;;;;;;;;;;;
80;21;12;30;33;30;;;;;;;;;;;
81;23;12;36;39;33;;;;;;;;;;;
82;21;13;26;30;30;;;;;;;;;;;
83;26;15;37;41;39;;;;;;;;;;;
84;27;16;40;40;40;;;;;;;;;;;
85;21;14;32;34;30;;;;;;;;;;;
86;20;12;30;32;30;;;;;;;;;;;
87;26;13;32;38;39;;;;;;;;;;;
88;24;14;34;36;36;;;;;;;;;;;
89;21;12;30;33;30;;;;;;;;;;;
90;21;16;38;39;38;;;;;;;;;;;
91;16;10;28;28;30;;;;;;;;;;;
92;20;13;30;31;35;;;;;;;;;;;
93;15;12;25;26;20;;;;;;;;;;;
94;23;15;39;41;39;;;;;;;;;;;
